"";"desc";"Estimate";"Std. Error";"z-value";"p-value";"low0.95CI";"high0.95CI"
"(Intercept)_ABCD26";"BIRTH_WEIGHT_LGA~LTPA_EE+GESTATIONAL_AGE+SEX";-2,25314292761789;0,129035937912044;-17,461359711693;2,8213337963144e-68;-2,50604871863684;-2,00023713659893
"LTPA_EE_ABCD8";"BIRTH_WEIGHT_LGA~LTPA_EE+GESTATIONAL_AGE+SEX";-0,000658236213278885;0,000258620863007064;-2,54517831866065;0,0109221946468313;-0,0011651237904234;-0,000151348636134373
"GESTATIONAL_AGE_ABCD17";"BIRTH_WEIGHT_LGA~LTPA_EE+GESTATIONAL_AGE+SEX";0,00740468164086575;0,00322099193598718;2,29888239027719;0,0215116186239509;0,00109165345183694;0,0137177098298946
"SEX1_ABCD8";"BIRTH_WEIGHT_LGA~LTPA_EE+GESTATIONAL_AGE+SEX";0,0037156933579463;0,0078440710626515;0,473694504839213;0,635717772523261;-0,0116584034170235;0,0190897901329161
"(Intercept)_ALSPAC";"BIRTH_WEIGHT~MOD_VIG+";3487,37822036794;7,11360090620245;490,240915445121;0;3473,43581879139;3501,32062194448
"MOD_VIG_ALSPAC";"BIRTH_WEIGHT~MOD_VIG+";0,318605239639866;1,40978821275791;0,225995108170603;0,821205225029484;-2,44452888319474;3,08173936247447
"(Intercept)_ALSPAC1";"BIRTH_WEIGHT~MOD_VIG+GESTATIONAL_AGE";-1402,04710407495;143,982801686445;-9,73760121106846;2,08415938251976e-22;-1684,24820977356;-1119,84599837635
"MOD_VIG_ALSPAC1";"BIRTH_WEIGHT~MOD_VIG+GESTATIONAL_AGE";0,230962101488809;1,32768692910335;0,17395825508713;0,861898269557607;-2,37125646229834;2,83318066527595
"GESTATIONAL_AGE_ALSPAC";"BIRTH_WEIGHT~MOD_VIG+GESTATIONAL_AGE";122,986322078576;3,61775375361179;33,9952164947083;2,62159171719953e-253;115,895655016563;130,07698914059
"(Intercept)_ALSPAC2";"BIRTH_WEIGHT~MOD_VIG+GESTATIONAL_AGE+SEX";-1413,47880804407;142,199216462215;-9,94013077715974;2,78461324466552e-23;-1692,18415093982;-1134,77346514831
"MOD_VIG_ALSPAC2";"BIRTH_WEIGHT~MOD_VIG+GESTATIONAL_AGE+SEX";0,284210341834074;1,3112264915665;0,216751525127084;0,828401991146928;-2,28574635721108;2,85416704087923
"GESTATIONAL_AGE_ALSPAC1";"BIRTH_WEIGHT~MOD_VIG+GESTATIONAL_AGE+SEX";124,974980242706;3,57529579685745;34,9551442296199;1,08165472217497e-267;117,967529246788;131,982431238624
"SEX1_ALSPAC";"BIRTH_WEIGHT~MOD_VIG+GESTATIONAL_AGE+SEX";-138,751193038999;9,15222915187032;-15,1603713954916;6,4702426301766e-52;-156,689232554922;-120,813153523076
"(Intercept)_ALSPAC3";"MACROSOMIA~MOD_VIG+";-1,94634737966993;0,0456945682475859;-42,5947208675673;0;-2,0359070877243;-1,85678767161555
"MOD_VIG_ALSPAC3";"MACROSOMIA~MOD_VIG+";0,0071144153860243;0,00892544433044738;0,797093693336351;0,425396618821755;-0,0103791340476698;0,0246079648197184
"(Intercept)_ALSPAC4";"MACROSOMIA~MOD_VIG+GESTATIONAL_AGE";-19,9142878584234;1,11347351246489;-17,8848330341861;1,54816235661759e-71;-22,0966558405939;-17,7319198762529
"MOD_VIG_ALSPAC4";"MACROSOMIA~MOD_VIG+GESTATIONAL_AGE";0,00739553577983426;0,00904844427197325;0,817326775470262;0,413741709208957;-0,010339089109351;0,0251301606690196
"GESTATIONAL_AGE_ALSPAC2";"MACROSOMIA~MOD_VIG+GESTATIONAL_AGE";0,448964708243964;0,0276290145851171;16,2497546505263;2,24260094611065e-59;0,394812834728803;0,503116581759125
"(Intercept)_ALSPAC5";"MACROSOMIA~MOD_VIG+GESTATIONAL_AGE+SEX";-20,0924081415301;1,11694083034896;-17,988784719467;2,3853175437052e-72;-22,2815719418763;-17,9032443411839
"MOD_VIG_ALSPAC5";"MACROSOMIA~MOD_VIG+GESTATIONAL_AGE+SEX";0,00784216951703005;0,00913743431556304;0,85824633548097;0,390756455208698;-0,0100668726525739;0,025751211686634
"GESTATIONAL_AGE_ALSPAC3";"MACROSOMIA~MOD_VIG+GESTATIONAL_AGE+SEX";0,460550029567976;0,0277494976804514;16,5966978887844;7,36318225277304e-62;0,406162013525213;0,514938045610738
"SEX1_ALSPAC1";"MACROSOMIA~MOD_VIG+GESTATIONAL_AGE+SEX";-0,661126977238775;0,0663935801848282;-9,95769433427618;2,33413019953841e-23;-0,791256003205711;-0,53099795127184
"(Intercept)_ALSPAC6";"BIRTH_WEIGHT_LGA~MOD_VIG+";-1,38297245272502;0,0376321499744906;-36,7497592792992;1,17296740984593e-295;-1,45673011133583;-1,30921479411421
"MOD_VIG_ALSPAC6";"BIRTH_WEIGHT_LGA~MOD_VIG+";0,0131524292308314;0,00730586232989277;1,80025692203599;0,0718200795345756;-0,00116679781176628;0,0274716562734291
"(Intercept)_ALSPAC7";"BIRTH_WEIGHT_LGA~MOD_VIG+GESTATIONAL_AGE";-0,504892385491957;0,802863864020191;-0,628864254724085;0,529437929445352;-2,07847664346019;1,06869187247628
"MOD_VIG_ALSPAC7";"BIRTH_WEIGHT_LGA~MOD_VIG+GESTATIONAL_AGE";0,0131730663206952;0,00730697337437766;1,80280748892385;0,0714184536440496;-0,0011483383290781;0,0274944709704685
"GESTATIONAL_AGE_ALSPAC4";"BIRTH_WEIGHT_LGA~MOD_VIG+GESTATIONAL_AGE";-0,0220931339606825;0,0201840079193592;-1,09458607274387;0,273698019877816;-0,0616530625462977;0,0174667946249328
"(Intercept)_ALSPAC8";"BIRTH_WEIGHT_LGA~MOD_VIG+GESTATIONAL_AGE+SEX";-0,520741497933746;0,802923550243491;-0,648556762067607;0,516624910620742;-2,09444273875003;1,05295974288253
"MOD_VIG_ALSPAC8";"BIRTH_WEIGHT_LGA~MOD_VIG+GESTATIONAL_AGE+SEX";0,0132617451565474;0,0073141407205685;1,81316516364709;0,0698063510676501;-0,00107370723362466;0,0275971975467195
"GESTATIONAL_AGE_ALSPAC5";"BIRTH_WEIGHT_LGA~MOD_VIG+GESTATIONAL_AGE+SEX";-0,0196951129239683;0,020198280398195;-0,975088598419906;0,329516313724604;-0,0592830150540719;0,0198927892061353
"SEX1_ALSPAC2";"BIRTH_WEIGHT_LGA~MOD_VIG+GESTATIONAL_AGE+SEX";-0,167446630416931;0,0519453708519541;-3,2235140046292;0,00126628106461978;-0,269257686450338;-0,0656355743835246
"(Intercept)_ALSPAC9";"BIRTH_WEIGHT~LTPA_DUR+";3488,39427981488;7,09972774136654;491,34197914235;0;3474,47906914176;3502,309490488
"LTPA_DUR_ALSPAC";"BIRTH_WEIGHT~LTPA_DUR+";0,0366172047853204;1,28467508246537;0,0285030863329658;0,977260906492911;-2,48129968868283;2,55453409825347
"(Intercept)_ALSPAC10";"BIRTH_WEIGHT~LTPA_DUR+GESTATIONAL_AGE";-1401,70867122884;144,000139560351;-9,7340785606765;2,15764235419005e-22;-1683,94375853587;-1119,47358392181
"LTPA_DUR_ALSPAC1";"BIRTH_WEIGHT~LTPA_DUR+GESTATIONAL_AGE";0,108541101447559;1,20985765861927;0,0897139433505175;0,92851453543346;-2,26273633586616;2,47981853876127
"GESTATIONAL_AGE_ALSPAC6";"BIRTH_WEIGHT~LTPA_DUR+GESTATIONAL_AGE";122,988111690732;3,6177569018965;33,9956815855313;2,58043252487016e-253;115,897438458193;130,07878492327
"(Intercept)_ALSPAC11";"BIRTH_WEIGHT~LTPA_DUR+GESTATIONAL_AGE+SEX";-1413,32345398688;142,216387336624;-9,93783825095743;2,84943459105369e-23;-1692,06245117806;-1134,5844567957
"LTPA_DUR_ALSPAC2";"BIRTH_WEIGHT~LTPA_DUR+GESTATIONAL_AGE+SEX";0,195762286955161;1,19486747577139;0,163835982587759;0,869860264389737;-2,14613493185505;2,53765950576537
"GESTATIONAL_AGE_ALSPAC7";"BIRTH_WEIGHT~LTPA_DUR+GESTATIONAL_AGE+SEX";124,977535001789;3,57530032536934;34,9558145129748;1,0565858341928e-267;117,970075130151;131,984994873427
"SEX1_ALSPAC3";"BIRTH_WEIGHT~LTPA_DUR+GESTATIONAL_AGE+SEX";-138,753099109261;9,15231258821244;-15,1604414482046;6,46334509025516e-52;-156,69130215741;-120,814896061112
"(Intercept)_ALSPAC12";"MACROSOMIA~LTPA_DUR+";-1,93250396694832;0,0455083733758751;-42,4647998509386;0;-2,02169873976004;-1,8433091941366
"LTPA_DUR_ALSPAC3";"MACROSOMIA~LTPA_DUR+";0,00308046302224153;0,00817551861938998;0,376791145082289;0,706328821790565;-0,0129432590266995;0,0191041850711825
"(Intercept)_ALSPAC13";"MACROSOMIA~LTPA_DUR+GESTATIONAL_AGE";-19,9018586742526;1,11347026808744;-17,8737225812389;1,88953943217375e-71;-22,0842202975602;-17,7194970509451
"LTPA_DUR_ALSPAC4";"MACROSOMIA~LTPA_DUR+GESTATIONAL_AGE";0,00376941597456695;0,00829034038004779;0,454675658871466;0,649342594966939;-0,0124793525899048;0,0200181845390387
"GESTATIONAL_AGE_ALSPAC8";"MACROSOMIA~LTPA_DUR+GESTATIONAL_AGE";0,448957166525886;0,027627325591032;16,2504750974383;2,21640159703133e-59;0,394808603378302;0,50310572967347
"(Intercept)_ALSPAC14";"MACROSOMIA~LTPA_DUR+GESTATIONAL_AGE+SEX";-20,0805837681719;1,1169546582006;-17,9779757582295;2,89884189120009e-72;-22,2697746706094;-17,8913928657345
"LTPA_DUR_ALSPAC5";"MACROSOMIA~LTPA_DUR+GESTATIONAL_AGE+SEX";0,00427602018637979;0,00837449213415994;0,510600537665766;0,609630799308439;-0,0121376827853877;0,0206897231581472
"GESTATIONAL_AGE_ALSPAC9";"MACROSOMIA~LTPA_DUR+GESTATIONAL_AGE+SEX";0,460547281895432;0,0277482450772021;16,5973480706286;7,2838694027983e-62;0,406161720909925;0,514932842880939
"SEX1_ALSPAC4";"MACROSOMIA~LTPA_DUR+GESTATIONAL_AGE+SEX";-0,661066395307352;0,066392020713333;-9,95701574081772;2,35011238880066e-23;-0,791192364766322;-0,530940425848382
"(Intercept)_ALSPAC15";"BIRTH_WEIGHT_LGA~LTPA_DUR+";-1,38152687053582;0,0375209277718643;-36,8201681721683;8,78290441943468e-297;-1,45506653763521;-1,30798720343644
"LTPA_DUR_ALSPAC6";"BIRTH_WEIGHT_LGA~LTPA_DUR+";0,011675506846416;0,00664871759345574;1,75605395812089;0,0790791956911615;-0,0013557401801351;0,0247067538729671
"(Intercept)_ALSPAC16";"BIRTH_WEIGHT_LGA~LTPA_DUR+GESTATIONAL_AGE";-0,508675347519817;0,802950013475481;-0,633508112563659;0,526401884816531;-2,08242845531771;1,06507776027808
"LTPA_DUR_ALSPAC7";"BIRTH_WEIGHT_LGA~LTPA_DUR+GESTATIONAL_AGE";0,0116666994083446;0,00664963981398526;1,75448591723836;0,0793472808956297;-0,00136635513723011;0,0246997539539194
"GESTATIONAL_AGE_ALSPAC10";"BIRTH_WEIGHT_LGA~LTPA_DUR+GESTATIONAL_AGE";-0,0219587773098491;0,0201836896753836;-1,0879466372608;0,276618665839014;-0,0615180821487338;0,0176005275290356
"(Intercept)_ALSPAC17";"BIRTH_WEIGHT_LGA~LTPA_DUR+GESTATIONAL_AGE+SEX";-0,524662499468402;0,803008601414744;-0,653370958348453;0,513517156776467;-2,09853043751718;1,04920543858037
"LTPA_DUR_ALSPAC8";"BIRTH_WEIGHT_LGA~LTPA_DUR+GESTATIONAL_AGE+SEX";0,0117958875846716;0,00665666664606851;1,77204120498333;0,0763877175545207;-0,00125093929871171;0,0248427144680549
"GESTATIONAL_AGE_ALSPAC11";"BIRTH_WEIGHT_LGA~LTPA_DUR+GESTATIONAL_AGE+SEX";-0,0195598600969821;0,0201979586561702;-0,968407769812265;0,332840760576731;-0,0591471316243047;0,0200274114303405
